id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00221,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60481405,-67.02953838,"https://www.google.com/maps/search/?api=1&query=10.60481405,-67.02953838"
ems_00222,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60482513,-67.03056976,"https://www.google.com/maps/search/?api=1&query=10.60482513,-67.03056976"
ems_00223,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60483144,-67.029726,"https://www.google.com/maps/search/?api=1&query=10.60483144,-67.029726"
ems_00224,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60488765,-67.02959908,"https://www.google.com/maps/search/?api=1&query=10.60488765,-67.02959908"
ems_00225,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60489073,-67.03135418,"https://www.google.com/maps/search/?api=1&query=10.60489073,-67.03135418"
ems_00226,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.6049056,-67.0315113,"https://www.google.com/maps/search/?api=1&query=10.6049056,-67.0315113"
ems_00227,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60497355,-67.0315919,"https://www.google.com/maps/search/?api=1&query=10.60497355,-67.0315919"
ems_00228,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60503057,-67.03146893,"https://www.google.com/maps/search/?api=1&query=10.60503057,-67.03146893"
ems_00229,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.6050529,-67.03155975,"https://www.google.com/maps/search/?api=1&query=10.6050529,-67.03155975"
ems_00230,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60508602,-67.03107064,"https://www.google.com/maps/search/?api=1&query=10.60508602,-67.03107064"
ems_00231,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.6048874,-67.03638395,"https://www.google.com/maps/search/?api=1&query=10.6048874,-67.03638395"
ems_00232,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60489779,-67.03604976,"https://www.google.com/maps/search/?api=1&query=10.60489779,-67.03604976"
ems_00233,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60492635,-67.03625945,"https://www.google.com/maps/search/?api=1&query=10.60492635,-67.03625945"
ems_00234,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60493915,-67.0363974,"https://www.google.com/maps/search/?api=1&query=10.60493915,-67.0363974"
ems_00235,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60496935,-67.03632198,"https://www.google.com/maps/search/?api=1&query=10.60496935,-67.03632198"
